Titlu,Descriere,Categorie
Cursuri gratuite de programare în HUB-ul Google de la UPT,"În primăvara acestui an, la Facultatea de Management în Producție și Transporturi a Universității Politehnica Timișoara se inaugura primul Atelier Digital Google deschis într-o universitate tehnică din România. Încă de atunci, organizatorii anunțau că în acest HUB Google vor fi desfășurate cursuri de programare și suport pentru studenții UPT care vor să dezvolte start-up-uri în [...]",DIDACTIC
"Studenții cu inițiativă din UPT, față în față cu antreprenori de succes","Universitatea Politehnica Timişoara sprijină în mod deosebit dezvoltarea de afaceri de către studenții şi absolvenții acesteia. În acest context, miercuri 24 octombrie 2018, începând cu ora 18:00, în amfiteatrul K1 din Centrul de Conferinţe al UPT, va avea loc evenimentul Antreprenor 21, desfăşurat în cadrul Societăţii Antreprenoriale Studenţeşti din UPT (SAS-UPT) în parteneriat cu INCUBOXX [...]",EVENIMENT
Recunoaștere internațională pentru un profesor UPT,"Profesorul Liviu MARȘAVINA de la Facultatea de Mecanică, Departamentul Mecanică și Rezistența Materialelor a fost ales vicepreședinte al Societății Europene de Integritate Structurală (European Structural Integrity Society, ESIS). Alegerea s-a făcut prin vot de către reprezentanții comitetelor naționale și comitetelor tehnice afiliate ESIS, cu ocazia conferinței 22nd European Conference on Fracture, desfășurată recent la Belgrad, [...]",ALTE ANUNȚURI
"Un profesor de la UPT, președinte la Academia Română, filiala Timișoara","În data de 24 septembrie 2018, în Aula festivă a filialei din Timișoara a Academiei Române a avut loc ședința de alegere a noului președinte al filialei pentru un mandat de patru ani. Ședința a fost condusă de către academicianul Răzvan Teodorescu, vicepreședinte al Academiei Române. Prin votul unanim al membrilor timișoreni ai Academiei Române, [...]",ALTE ANUNȚURI
Recital muzical la Biblioteca UPT,"În data de 17 octombrie, de la ora 18.00, în holul central al Bibliotecii UPT, va avea loc un Recital muzical susținut de duo Carmen și Dorel Iuga de la Filarmonica Banatul și ansamblul Percutissimo (Amelia Trifu, Patrick Cojerean, Daniel Jumugă-Cuibariu), coordonat de profesorul Doru Roman. Toți cei interesați sunt invitați să participe. Intrarea este [...]",EVENIMENT
Construiește-ți viitorul prin stagii de practică! – CONPrACT,"În data de 11 octombrie 2018 începând cu ora 11:30, în Sala Mare a Senatului UPT, va avea loc lansarea proiectului &#8220;Construiește-ți viitorul prin stagii de practică!&#8221;. UNIVERSITATEA POLITEHNICA TIMIȘOARA este beneficiar, alături de DANKE CON-SULTING SRL, al unui proiect de sprijinire a studenţilor din anii terminali pentru trecerea de la şcoală la viaţa activă. Proiectul [...]",ALTE ANUNȚURI
Seminar în domeniul procesării materialelor plastice,"Centrul de Competențe în Plasturgie (CCP)/Departamentul de Ingineria Materialelor și Fabricației (IMF) din Facultatea de Mecanică Timișoara organizează, marți 9 octombrie, între orele 9:00-16:30, în amfiteatrul K1 din Centrul de Conferințe al UPT, seminarul ”Unități de injecție materiale plastice și tehnologii de îmbunatățire a proceselor”, unde vor fi prezentate preocupările din departamentul IMF privind procesarea [...]",EVENIMENT
20 de ani de învățământ la distanță în UPT,"În zilele de 5 și 6 octombrie 2018, Universitatea Politehnica Timișoara organizează aniversarea a 20 de ani de la înființarea Centrului de ID/IFR și e-Learning – CeL. Cu această ocazie vor fi organizate o serie de manifestări. &#160;",EVENIMENT
"Universitatea Politehnica Timișoara, promotoare a mobilității virtuale academice","În perioada 27-29 septembrie 2018, a avut loc la Timișoara a treia întâlnire a proiectului Open Virtual Mobility. Gazdă a fost Universitatea Politehnica Timișoara, partener în cadrul proiectului, care a organizat întâlnirea în cadrul Centrului de ID/IFR și e-Learning al universității. Au participat 20 de cadre didactice, cercetători și personal administrativ din cadrul partenerilor proiectului [...]",EVENIMENT
"Primul pas spre antreprenoriat, prin SAS UPT","Societatea Antreprenorială Studențească din Universitatea Politehnica Timișoara (SAS UPT) și Convenția Organizațiilor Studențești din Politehnică (COSPol) țin să dea o mână de ajutor studenților care intenționează să-și deschidă o afacere proprie. Astfel, după evenimentul Antreprenor 21, derulat la sfârșitul lunii octombrie, când studenții cu aptitudini antreprenoriale din UPT au avut ocazia să asculte mai mulți [...]",EVENIMENT
Editura Politehnica a redevenit marcă înregistrată la OSIM,"Considerând imaginea şi identitatea ca deosebit de importante, Editura Politehnica şi-a reacreditat sigla la OSIM. Noua siglă păstrează imaginea celei vechi, dar a primit o haină nouă, în concordanţă cu normele de identitate vizuală ale UPT. Editura Politehnica a fost înfiinţată în anul 1996 în ideea susținerii procesului de învățământ, dar și cu gândul de [...]",EVENIMENT
Seară de film francez la Biblioteca UPT,"Lectoratul francez din cadrul Universității Politehnica Timișoara îi invită pe toți cei interesați la cea de-a doua seară a filmului francez, care va avea loc la Biblioteca Centrală a UPT. Proiecția filmului va avea loc miercuri, 28 noiembrie, de la ora 18.00, în Sala multimedia 2, et. 4, Biblioteca UPT. Filmul &#8211; BANDE DE FILLES [...]",EVENIMENT
"Siguranța în construcții, dezbătută la UPT de specialiști din 9 țări","Universitatea Politehnica Timișoara este gazda unei importante reuniuni științifice europene privind creșterea siguranței clădirilor din zonele seismice, mai precis a ședinței Comitetului tehnic TC13: &#8220;Proiectarea antiseismică&#8221; a Convenției Europene de Construcții Metalice (ECCS), împreună cu Grupul de lucru SC8-WG2 privind structurile metalice și compozite (oțel-beton) din cadrul Eurocode 8, norma europeană pentru proiectarea antiseismică. La [...]",EVENIMENT
Studenții UPT au cuvântul: evaluarea procesului didactic,"La Universitatea Politehnica Timișoara a început evaluarea procesului didactic de către studenți, care se va realiza în perioada 21-29 Noiembrie 2018. Evaluarea se desfășoară online, prin intermediul platformei electronice ee-PRO-D. Procesul începe la nivelul decanatelor facultăților, acestea punând la dispoziția studenților coduri specifice pentru fiecare disciplină selectată pentru evaluare. Evaluarea se realizează prin accesarea anonimă [...]",DIDACTIC
"Câștigătorul „Procesului Secolului” pentru România, la UPT","Sala Senatului Universității Politehnica Timișoara va găzdui joi, 22 noiembrie, începând cu ora 14:00, manifestarea omagială dedicată evenimentelor: 100 de ani de România, 90 de ani de Radio România, 2 ani de la lansarea Proclamației de la Timișoara &#8211; „Cadastru domeniu de importanță națională”. Evenimentul, care face parte din Campania națională -„Cadastrul pe înțelesul tuturor-Nouă [...]",EVENIMENT
Laborator Siemens la UPT,"Universitatea Politehnica Timișoara (UPT) inaugurează un nou laborator modern, realizat în cadrul Facultății de Electrotehnică și Electroenergetică, a cărui dotare și amenajare a fost realizată cu sprijinul companiilor Siemens România și Electric Sys SRL. Inaugurarea noului laborator Siemens va avea loc miercuri, 21 noiembrie 2018, începând cu ora 10:30, în sala D104 (corpul D Electro). [...]",EVENIMENT
French Cinema la UPT,"În ultima miercuri a fiecărei luni, de la ora 18:00 la ora 20:00, la Biblioteca Centrală a Universității Politehnica Timișoara, toți cei interesați sunt invitați să descopere cinematografia franceză în toate culorile și stilurile sale. Iată datele și filmele ce trebuie reținute: Miercuri, 28 noiembrie 2018 &#8211; BANDE DE FILLES, comedie, 2014 Miercuri, 30 ianuarie [...]",EVENIMENT
ABC pentru proiectare educațională,"Centrul de ID/IFR și e-Learning &#8211; CeL din cadrul Universității Politehnica Timișoara organizează joi, 22 noiembrie, ora 12:00, în sala Polivalentă a Bibliotecii UPT, workshop-ul cu tema ”ABC pentru proiectare educațională” (ABC to Learning Design), în cadrul proiectului Erasmus+ ABC to VLE. Workshop-ul este susținut de Dr. Clive Young și Dr. Natasa Perovic, din echipa [...]",EVENIMENT
"Profesorul Atsushi Sato, de la NITech, Japonia, la UPT","Departamentul de Construcții Metalice și Mecanica Construcțiilor (CMMC) a Universității Politehnica Timișoara (UPT) are plăcerea de a vă invita la prelegerea &#8220;Seismic Design Procedure of the Steel Structures combined with the Steel Damping Systems&#8221; susținută de domnul Atsushi Sato (Nagoya Institute of Technology &#8211; Japonia) care va avea loc în data de 20 Noiembrie 2018, [...]",EVENIMENT
Centrul de Educație Permanentă al UPT împlinește 20 de ani,"În anul 1998, în baza unui proiect Phare, în cadrul Universității Politehnica Timișoara a fost creată o structură, Asociația pentru Formare Continuă (ASFOC), având ca principal obiectiv sensibilizarea actorilor locali (agenți economici și instituții) cu privire la importanța investițiilor în resursa umană și formarea continuă a acesteia. Centrul ASFOC a fost integrat în structura Departamentului [...]",EVENIMENT
"Șapte profesori de la UPT, premiați de Academia Română","Academia Română a acordat, în 13 decembrie 2018, premiile care recompensează cele mai bune lucrări și prezențe culturale și științifice românești realizate de-a lungul anului 2016. Ceremonia de decernare a premiilor a avut loc în Aula Academiei Române, în prezența membrilor Adunării Generale. Laureații au fost premiați de către Biroul Prezidiului, condus de acad. Ioan-Aurel [...]",EVENIMENT
"„Anul acesta, fii şi tu Moș Crăciun!”","Facultatea Management în Producție și Transporturi din cadrul Universității Politehnica Timișoara organizează cea de-a doua ediție a acțiunii caritabile „Anul acesta, fii şi tu Moș Crăciun!”, tema de acum fiind „Educația în mediul rural&#8221;. Acțiunea din acest an este gândită sub forma unei caravane a Facultății de Management în Producție și Transporturi (Caravana MPT), care [...]",ALTE ANUNȚURI
"Elita studențimii timișorene, premiată de ”Orizonturi Universitare”","Cei mai buni dintre cei buni, elita studențimii timișorene, tineri cercetători, academicieni și profesori s-au reunit, în 11 decembrie 2018, la cea de-a XXIII-a ediție a Galei ”Student Eminent” organizată, la Universitatea Politehnica Timișoara, de Asociația ”Orizonturi Universitare”, Academia Română &#8211; filiala Timișoara și Consiliul Local al municipiului Timișoara. Premiul şi Diploma &#8220;Student Eminent&#8221; s-a [...]",EVENIMENT
Orele culturii timișene,"Consiliul Județean Timiș și Mitropolia Banatului măsoară „orele culturii timișene”, în nume de personalități și realizări remarcabile, care promovează valorile acestui bogat spațiu multicultural din Vestul României. În acest an, 24 de personalități au fost distinse cu deja consacratele premii „Pro Cultura Timisiensis”, între laureații secțiunii „Certitudini” aflându-se conf.dr. Mariana Cernicova-Bucă, de la Facultatea de [...]",EVENIMENT
97 de ani de fotbal polist,"Marți, 4 decembrie, de la ora 13:00, cadrele didactice, studenții și angajații UPT sunt invitați la conferința „Societatea Sportivă Politehnica la 97 de ani de la înființare”. Evenimentul va avea loc în amfiteatrul K1 din Centrul de Conferințe al UPT și este dedicat istoriei fotbalului polist. În deschiderea evenimentului vor lua cuvântul rectorul Universității Politehnica [...]",EVENIMENT
Artefacte vechi din 100 de ani,"Artefacte dintr-o mare cultură populară, unicate șlefuite în zeci de ani de utilizare, s-au încărcat cu semnificații și au rămas cu frumusețea intrinsecă a formei, puse în valoare de compoziții neașteptate. Este ceea ce propune artistul vizual M.C Donici într-o nouă expoziție de etnosculptură, intitulată „Artefacte vechi din 100 de ani”, montată la Biblioteca Universității [...]",EVENIMENT
Seară de film francez la Biblioteca UPT,"O nouă seară de film francez va fi organizată miercuri, 30 ianuarie 2019, de la ora 18:00, la Biblioteca Centrală a Universității Politehnica Timișoara. Proiecția peliculei MICHAEL KOHLHAAS (2013) va avea loc în Sala polivalentă a Bibliotecii, filmul fiind subtitrat în limba română. Acțiunea filmului se petrece în Cevenele, în secolul al XVI-lea, într-o localitate [...]",ALTE ANUNȚURI
"Burse de 10.000 de dolari, doar pentru femei","Compania Toptal a demarat recent un program de burse adresate doar femeilor, din întreaga lume. Bursele, în valoare de 10.000 de dolari și un an de mentorat cu un expert Toptal, se acordă pentru 5 femei cu abilități de lider, care au idei de schimbare a viitorului. Se acordă câte o bursă pentru fiecare dintre [...]",ALTE ANUNȚURI
Granturi de cercetare,"UEFISCDI a lansat, în cadrul  Programului Cercetare, competiția pentru Schemă de Grant (SGS-ERC), finanţată din Mecanismul Financiar Norvegian 2014-2021, având ca scop susținerea cercetătorilor români în vederea îmbunătățirii propunerilor de proiecte pentru redepunerea acestora în viitoarele competiții lansate de European Research Council (ERC). Pot obține finanțare instituțiile care au depus proiecte în cadrul apelurilor ERC și au [...]",CERCETARE - COOPERARE
"Studenții pasionați de aplicații mobile, în concurs","Departamentul de Calculatoare și Tehnologia Informației din cadrul Universității Politehnica Timișoara organizează luni, 21 ianuarie 2019, începând cu ora 17:00, la Centrul de Conferințe al UPT, cea de-a VII-a ediție a Sesiunii de comunicări studențești pentru aplicații mobile. Competiția e dedicată dezvoltatorilor de aplicații mobile și a fost concepută în primul rând pentru studenții Departamentului [...]",EVENIMENT
"Ceai de poveste, la Biblioteca UPT","Studenții din anul II de la Facultatea de Arhitectură și Urbanism a Universității Politehnica Timișoara, specializarea Mobilier și amenajări interioare, invită pe toți cei interesați joi, 17 ianuarie 2019, la ora 15:30 la un&#8230; ceai de poveste. Este tema expoziției pe care viitorii arhitecți au amenajat-o în holul central al Bibliotecii UPT. Concret, studenții au [...]",EVENIMENT
"Daniel Dorobanțu live, la Biblioteca UPT","Biblioteca Centrală a Universității Politehnica Timișoara va găzdui joi, 10 ianuarie 2019, începând cu ora 18:00, un concert susținut de artistul Daniel Dorobanțu, unul dintre pionierii muzicii ambientale din România. Intrarea este liberă. De la debutul său în 1995, Daniel Dorobanțu a produs 11 albume de studio, numeroase lucrări de artă video, instalații, spectacole live [...]",EVENIMENT
Studenții de la Arhitectură proiectează scaune… culturale,"Studentii anului VI de la Facultatea de Arhitectură și Urbanism a Universității Politehnica Timișoara, împreună cu cadrele didactice coordonatoare (arh. Cristina-Maria Povian, arh. Mihai Donici), organizează vernisajul expoziției &#8211; SIT WITH ME&#8230; in Timișoara European Capital of Culture &#8211; pentru a prezenta lucrările realizate în cadrul Proiectului de Amenajări Interioare. Evenimentul va avea loc în [...]",EVENIMENT
In memoriam Tiberiu Mureșan,"Fundația Politehnica, Facultatea de Electronică, Telecomunicații și Tehnologii Informaționale și Departamentul de Electronică Aplicată din cadrul Universității Politehnica Timișoara organizează luni, 14 ianuarie 2019, ora 13.00, în amfiteatrul K1 de la Centrul de Conferințe al UPT, lansarea cărții ”In memoriam Tiberiu Mureșan”. Profesorul Tiberiu Mureșan este unul dintre fondatorii şcolii de electronică din Timişoara, un [...]",EVENIMENT
Înscrieri pentru CIEM 2019,"În perioada 17-18 octombrie 2019, la Timișoara, se va desfășura cea de-a IX-a Conferință Internațională privind Energia și Mediul &#8211; CIEM 2019. Lucrările conferinței vor fi indexate ISI. Termenul limită de trimitere a rezumatului in extenso este 1 martie 2019. Conferința este organizată de Academia Oamenilor de Știință din România, Universitatea Politehnica din București, Universitatea [...]",EVENIMENT
O nouă seară de film francez la Biblioteca UPT,"Lectorul francez Brice Lecourt, de la Universitatea Politehnica Timișoara îi invită pe toți cei interesați la o nouă seară de film francez. Proiecția peliculei Le Tableau (2011), o frescă somptuoasă și originală, va avea loc miercuri, 27 februarie, la ora 18.00, în Sala polivalentă a Bibliotecii UPT. Într-o lume a fanteziei și a poeziei, vom [...]",EVENIMENT
Îmbunătățirea performanțelor matrițelor,"Centrul de Competențe în Plasturgie /Departamentul de Ingineria Materialelor şi Fabricaţiei din Facultatea de Mecanică a Universității Politehnica Timișoara organizează, marți, 26 februarie 2019, între orele 9:00-17:30, în amfiteatrul K1 din Centrul de Conferințe al UPT, seminarul „Tehnologii de îmbunătățire a performanțelor matrițelor”, unde vor fi prezentate preocupările din Departamentul IMF privind procesarea materialelor plastice, [...]",EVENIMENT
Proiectul EcoSec la MPT,"În data de 26.02.2019, între orele 20.00 &#8211; 22.00, la Facultatea de Management în Producție și Transporturi, sala M105, va avea loc workshop-ul de lansare a Proiectului: Evaluarea capacității organizaționale pentru dezvoltare sustenabilă în contextul economiei circulare (EcoSec). Proiectul își propune să dezvolte o platformă Web care să integreze un instrument pentru evaluarea organizațională și [...]",EVENIMENT
Parteneriate în cercetare,"În data de 14 februarie 2019, Biblioteca UPT a găzduit masa rotundă cu tema Știinta materialelor &#8211; Obtinere, caracterizare, aplicatii practice. La această întâlnire au participat reprezentanți de la: - Universitatea Politehnica Timișoara (Institutul de Cercetări pentru Energii Regenerabile, departamentele: Ingineria Materialelor și Fabricației; Chimie Aplicată și Ingineria Compușilor Anorganici și a Mediului; Chimie Aplicată [...]",EVENIMENT
"Premiile Bibliotecii UPT, la o nouă ediție","Potrivit unei inițiative lansate în urmă cu an, Biblioteca Centrală a Universității Politehnica Timișoara își premiază, la finalul fiecărui semestru, cei mai activi cititori, atât interni, cât și externi. Biblioteca UPT, cea mai modernă din țară, a devenit un reper pentru întreg centrul universitar, fiind vizitată de studenți și cadre didactice de la toate universitățile. [...]",EVENIMENT
Invitație la Pro Invent,"În perioada 20-22 martie 2019, la Sala Polivalentă BT Arena din Cluj-Napoca, se va desfășura ediția a XVII-a a Salonului Internațional al Cercetării Științifice, Inovării și Inventicii PRO INVENT. Informații despre acest eveniment găsiți aici. Persoanele care doresc să participe la acest eveniment sunt rugate să trimită e-mail până în data de 15 februarie 2019 [...]",EVENIMENT
Teza mea în 180 de secunde,"Institutul Francez din România și Agenția Universitară a Francofoniei organizează cea de-a treia ediție a concursului „Teza mea în 180 de secunde” ce se va derula în 2019 în întreaga țară! Acest concurs permite doctoranzilor să își prezinte subiectul cercetării lor în franceză, folosind termeni simpli, în fața unui auditoriu profan și variat. Fiecare student/studentă [...]",ALTE ANUNȚURI
La UPT se înființează un centru de învățare pentru studenți,"Universitatea Politehnica Timișoara vine în sprijinul studenților aflați în risc de abandon, prin înființarea unui Centru de Învățare în Științe Inginerești, ce va fi creat cu fonduri de la Banca Mondială. Scopul principal al noului centru este de a crește rata de promovabilitate la nivel de ciclu de licență și a diminua abandonul școlar. Centrul [...]",ALTE ANUNȚURI
"Conferința Professional Communication and Translation Studies, la Centenar","În contextul aniversării Centenarului Politehnicii, în perioada 4-5 aprilie 2019 Departamentul de Comunicare și Limbi Străine, cu sprijinul Facultății de Științe ale Comunicării din UPT organizează cea de a 11-a conferință internațională Professional Communication and Translation Studies (PCTS11), sub genericul Limbă și comunicare în era digitală: provocări pentru cercetători, profesori și practicieni. Evenimentul se va [...]",EVENIMENT
UPT se implică în dezvoltarea învățământului preuniversitar,"În contextul exercitării Președinției Romaniei la Consiliul Uniunii Europene, în perioada 31 martie &#8211; 2 aprilie 2019, la Timișoara, se va desfășura Reuniunea directorilor generali pentru învățământ preuniversitar, un eveniment organizat de Ministerul Educației Naționale, la care Universitatea Politehnica Timișoara este partener, având atribuții de coordonare a activității și a relației cu autoritățile la nivel [...]",EVENIMENT
Handbaliștii aduc Cupa la Biblioteca UPT,"Luni, 25 martie, ora 12:00, în holul Bibliotecii UPT, toți cei interesați de handbal sunt invitați la o întâlnire cu echipa Politehnica Timișoara, câștigătoarea Cupei României. Campionii politehniști au obținut acest trofeu după 33 de ani, iar acum îl vor prezenta în fața suporterilor. La evenimentul de suflet de la Biblioteca UPT va participa conducerea [...]",EVENIMENT
"Profesor în China. O experiență inedită, trăită de profesori din UPT","Fundația Politehnica și Departamentul de Electronică Aplicată de la Universitatea Politehnica Timișoara invită pe toți cei interesați la prezentarea „Profesor în China. O experiență inedită”, autori: prof.dr.ing. Ivan Bogdanov și șl.dr.ing. Raul Ionel. Evenimentul va avea loc luni, în 25 martie 2019, de la ora 14, în amfiteatrul K1, la Biblioteca Centrală a Universității Politehnica [...]",EVENIMENT
"Ziua Mondială a Apei, sărbătorită la UPT","Sub deviza „Apa pentru toți”, Universitatea Politehnica Timișoara, prin Departamentul de Chimie Aplicată și Ingineria Compușilor Anorganici și a Mediului din cadrul Facultății de Chimie Industrială și Ingineria Mediului, în colaborare cu Departamentul de Mediu din cadrul Primăriei Municipiului Timișoara sărbătorește joi, 21 martie 2019, Ziua Mondială a Apei. În acest sens, în Amfiteatrul K2 [...]",EVENIMENT
"Ziua Internațională a Francofoniei, la UPT","Cu ocazia Zilei Internaționale a Francofoniei, lectoratul francez din cadrul Universității Politehnica Timișoara organizează expoziția Ecologii Francofone, în holul central al Bibliotecii UPT. Vernisajul va avea loc în data de 19 martie 2019, la ora 16:00. Lucrările expuse, realizate de studenții de la Facultatea de Științe ale Comunicării, exprimă legătura strânsă care există între dezvoltarea [...]",EVENIMENT
„Biciul disprețului” – lansare de carte,"În 19 martie 2019, la ora 17:00, la Universitatea Politehnica Timișoara, va avea loc lansarea microromanului expresionist „Die Peitsche im Antlitz. Geschichte eines Gezeichneten” / „Biciul disprețului. Povestea unui stigmatizat”, de Franz Xaver Kappus, cu un studiu introductiv de William Totok, traducerea din germană și note de Werner Kremm. Volumul a apărut la Editura Muzeului [...]",EVENIMENT
Ediție aniversară Cinecultura,"Cinecultura, festivalul internațional de film inițiat de Universitatea Politehnica Timișoara în urmă cu 10 ani, programează, la sfârșitul lunii martie, șase zile pline pentru cinefili, cu 14 filme din 12 țări. Cea de-a 10-a ediție, aniversară, a festivalului organizat de lectorii străini ai UPT și UVT în colaborare cu operatori culturali și voluntari se va [...]",EVENIMENT
Număr record de înscrieri la RoboTEC 2019!,"Concursul internațional RoboTEC, organizat de voluntarii din Liga AC (Liga Studenților din Facultatea de Automatică și Calculatoare), în colaborare cu Universitatea Politehnica Timișoara, Facultatea de Automatică și Calculatoare și companiile din sfera IT&#38;C, ajuns la cea de-a V-a ediție, câștigător al premiului „Cel mai bun proiect de/pentru tineret desfășurat în județul Timiș în anul 2018, [...]",EVENIMENT
"Circul, tema noii seri de film francez la UPT","Lectorul francez din cadrul Universității Politehnica Timișoara, Brice Lecourt, propune, pentru data de 24 aprilie 2019, o nouă seară de film francez, ce are ca temă minunata lume a circului. Proiecția peliculei CIRQUE HORS-PISTE (2016) va avea loc la ora 18.00, în Sala Polivalentă a Bibliotecii UPT. Filmul urmărește artiștii unui circ modern, regândit, care [...]",EVENIMENT
Medalie de aur la Geneva pentru Universitatea Politehnica Timișoara,"În perioada 10-14 aprilie 2019  Universitatea Politehnica Timișoara a participat la cea de-a 47-a ediție a Salonului Internaţional de Invenţii de la Geneva &#8211; ELVEȚIA 2019 . Universitatea Politehnica Timișoara a  obținut o MEDALIE DE AUR și un Premiu Taiwan pentru invenția „Memorie portabilă flash de tip stick pe interfață Ethernet”, autori: Roland SZABO și Aurel GONTEAN, cadre [...]",CERCETARE - COOPERARE
Teză de abilitare – susținere publică,"Vineri, 19 aprilie 2019, începând cu ora 11:00, va avea loc susținerea publică a tezei de abilitare cu titlul „Cercetări şi contribuţii în domeniul utilizării şi producerii energiei electrice “, elaborată de conf.dr.ing. Sorin Ioan DEACONU. Manifestarea va avea loc la Facultatea de Electrotehnică și Electroenergetică, sala D104, B-dul Vasile Pârvan, nr. 2.",ALTE ANUNȚURI
"Conferința ISETC 2018, indexată ISI","Universitatea Politehnica Timişoara a găzduit, în zilele de 8 &#8211; 9 noiembrie 2018, o manifestare ştiinţifică de amploare internaţională, cea de-a XIII-a ediţie a conferinţei internaţionale în domeniul electronicii şi telecomunicaţiilor ISETC 2018. În această lună, conferința a fost indexată în ISI Web of Science, la fel ca și precedentele 3 ediții, 79 dintre lucrările [...]",CERCETARE - COOPERARE
"Tehnologiile viitorului, prezentate la UPT","Societatea Antreprenorială Studențească din Universitatea Politehnica Timișoara, împreună cu Orange România, organizează luni, 15 aprilie 2019, începând cu ora 18:00, în Sala Polivalentă a Bibliotecii UPT, evenimentul „Tech enablers from Orange @SAS UPT”, prin care studenții, cadrele didactice și cercetătorii pot asista la prezentarea celor mai noi tehnologii din domeniile arhitecturii 5G, IoT (Internet of [...]",EVENIMENT
"Prof.dr.ing. Christoph Gehlen, Profesor Onorific al UPT","Facultatea de Construcții a Universității Politehnica Timișoara organizează marți, 9 aprilie 2019, în amfiteatrul K1 al Centrului de Conferințe al UPT, începând cu ora 14:00, ceremonia decernării titlului academic de „Profesor Onorific” domnului prof.dr.ing. Christoph Gehlen de la Universitatea Tehnică din München. Domnul Profesor Christoph Gehlen este un reprezentant de prestigiu al ştiinţei construcţiilor pe [...]",EVENIMENT
Firmele italiene vor o relație mai strânsă cu UPT,"Perioada de tranziție în care România era atractivă pentru investitorii străini doar prin prisma forței de muncă ieftine s-a cam încheiat, astfel încât managerii caută deja noi strategii de dezvoltare a afacerilor în viitor. În acest sens, vineri, 5 aprilie 2019, la Rectoratul UPT a fost semnat un acord cadru de colaborare cu Confindustria România, [...]",EVENIMENT
"Concurs internațional de comunicare a științei pentru public, la UPT","FameLab 2019, cel mai important concurs internațional de comunicare a științei pentru public, cu finanțare britanică, este deschis tuturor studenților și cercetătorilor de peste 19 ani care studiază sau lucrează in inginerie, medicină, tehnologie, biologie, chimie, fizică sau matematică. Preselecția regională a concursului FameLab va avea loc la Universitatea Politehnica Timișoara, în data de 12 [...]",CERCETARE - COOPERARE
Noutăți în domeniul injectării materialelor plastice,"Centrul de Competențe în Plasturgie (CCP) / Departamentul de Ingineria Materialelor şi Fabricaţiei (IMF) din Facultatea de Mecanică Timișoara, organizează luni, 8 aprilie 2019, între orele 9:00-13:00, în amfiteatrul K1 din Centrul de Conferințe al UPT, împreună cu companiile ENGEL România/Austria, ONI Wärmetrafo și Wener KOKH Germania, seminarul cu tema „Noutăți în industria prelucrătoare a [...]",EVENIMENT
"„Zilele MPT”, la a treia ediție","Facultatea de Management în Producție și Transporturi a Universității Politehnica Timișoara organizează ediția a 3-a a evenimentului „Zilele MPT”. Acesta va avea loc în perioada 11-12 aprilie 2019 începând cu ora 10.00. Programul manifestărilor include: Ziua 1 –Întâlnire cu absolvenții de succes, experiențe studențești, prezentarea unor lucrări științifice realizate prin implicarea studenților, expoziție de artă [...]",EVENIMENT
„Fii tu fratele mai mare” a ajuns la a 10-a ediție,"Proiectul de suflet „Fii tu fratele mai mare”, organizat de Liga Studenților din Facultatea de Electronică și Telecomunicații (LSFETc), a ajuns la ediția cu numărul 10. Cea de anul acesta este una aniversară și va avea loc în data de 1 iunie 2019. În jur de 120 de copii din centrele de plasament din județele [...]",EVENIMENT
Plastics Knowledge Day 2019,"Facultatea de Mecanică a Universității Politehnica Timișoara găzduiește, în zilele de 4 &#8211; 5 iunie 2019, între orele 9:00 &#8211; 16:00, Plastics Knowledge Day 2019, un eveniment organizat de firma Spectromas, în calitate de reprezentant al GOM Gmbh, în colaborare cu Departamentul de Mecanică și Rezistența Materialelor de la UPT. Evenimentul, cu intrare liberă, reunește [...]",EVENIMENT
Fonduri europene 2021-2027,"Agenția pentru Dezvoltare Regională Vest (ADR Vest) a început activitatea de pregătire a documentelor regionale de planificare a finanțărilor din fonduri europene aferente perioadei 2021-2027. În acest sens, ADR Vest, împreună cu Comisia Europeană – Centrul Comun de Cercetare (JRC Sevilla), organizează, în perioada 28 mai &#8211; 29 mai 2019, la Timișoara, o serie de întâlniri de Descoperire [...]",EVENIMENT
"Cel mai puternic laser din lume, prezentat la UPT","Extreme Light Infrastructure – Nuclear Physics (ELI-NP), în colaborare cu Universitatea Politehnica Timișoara, organizează pe data de 29 mai 2019, orele 11:00 – 13:00, în Sala Polivalentă a Bibliotecii Centrale a UPT, o sesiune de comunicări despre principalele direcții, teme și provocări tehnice ale activității de cercetare din cadrul Institutului Național de Fizică și Inginerie [...]",CERCETARE - COOPERARE
O nouă seară de film francez la Biblioteca UPT,"Prietenii limbii franceze și ai Francofoniei sunt invitați la o nouă seară de film francez, organizată de Brice Lecourt, lectorul francez din cadrul Universității Politehnica Timișoara. Proiecția peliculei HIPPOCRATE (2014) va avea loc miercuri, 29 mai, la ora 19.00, în Sala polivalentă a Bibliotecii UPT. Filmul este subtitrat în limba română. În ultima seară de [...]",EVENIMENT
Blood Network la Timișoara,"În 2019, Centrul Regional de Transfuzie Sanguină Timișoara împreună cu organizatorii celor mai populare festivaluri, UNTOLD și NEVERSEA, și Universitatea Politehnica din Timișoara organizează o Campanie de donare de sânge în 25 și 26 mai între orele 8-13. Această acțiune se va desfășura în centrul mobil de donare (autocar special amenajat) care va fi amplasat [...]",ALTE ANUNȚURI
